rank,name,fte_students,students_per_staff,international_students,ratio,overall,teaching,research,citations,industry_income,international_outlook,size
401–500,University of Rome II – Tor VergataItaly,32325,17.9,6%,51 : 49,38.0,25.2,15.4,71.9,38.5,43.3,large
401–500,University of Rome IIIItaly,34492,56.2,4%,59 : 41,35.1,26.3,10.6,67.3,37.4,38.4,large
401–500,Roskilde UniversityDenmark,6034,14.5,9%,62 : 38,35.0,20.0,29.3,52.1,35.0,49.6,medium
401–500,University of Rovira i VirgiliSpain,12604,12.6,10%,59 : 41,39.2,22.2,17.2,76.4,34.5,47.7,medium
401–500,University of St GallenSwitzerland,7456,13.1,35%,33 : 67,38.8,30.1,19.5,52.0,43.7,96.0,medium
401–500,Saint Louis UniversityUnited States,10976,6.8,7%,59 : 41,37.6,35.7,14.7,65.0,34.7,28.0,medium
401–500,Saint Petersburg State UniversityRussian Federation,21433,5.8,10%,65 : 35,36.2,47.3,29.8,31.5,33.1,37.4,large
401–500,San Diego State UniversityUnited States,29136,30.7,7%,56 : 44,37.9,23.6,23.4,69.1,32.8,30.2,large
401–500,University of SaskatchewanCanada,16712,16.3,17%,56 : 44,36.5,34.7,24.5,40.9,60.2,66.8,large
401–500,Sciences PoFrance,9679,38.1,45%,59 : 41,39.7,32.6,27.1,52.1,36.2,70.5,medium
401–500,Semmelweis UniversityHungary,10880,10.7,31%,68 : 32,35.2,22.6,11.9,61.5,34.4,73.8,medium
401–500,University of SiegenGermany,19339,49.2,11%,49 : 51,38.3,24.8,25.2,61.2,39.6,52.4,large
401–500,University of SienaItaly,17928,14.0,6%,59 : 41,34.9,20.7,13.8,68.8,34.4,41.3,large
401–500,"Soas, University of LondonUnited Kingdom",4854,11.5,56%,64 : 36,37.5,37.1,35.0,31.0,31.8,77.0,small
401–500,Southern Cross UniversityAustralia,8298,32.4,18%,65 : 35,35.2,23.3,23.5,52.6,41.0,57.7,medium
401–500,State University of CampinasBrazil,26811,14.3,4%,47 : 53,37.7,43.5,40.0,31.7,45.5,27.1,large
401–500,University of StrathclydeUnited Kingdom,17496,21.5,27%,49 : 51,37.9,26.1,32.2,44.1,45.1,80.9,large
401–500,Swinburne University of TechnologyAustralia,13269,24.7,25%,39 : 61,39.1,25.6,24.3,59.0,36.1,74.2,medium
401–500,University of Texas at San AntonioUnited States,25945,25.8,6%,49 : 51,39.8,18.8,18.4,84.2,32.4,34.2,large
401–500,Tokyo Medical and Dental University (TMDU)Japan,2906,3.2,7%,50 : 50,36.1,35.9,20.5,53.2,57.1,24.5,small
401–500,Tongji UniversityChina,35810,12.9,11%,39 : 61,36.1,36.5,38.2,25.4,99.4,47.5,large
401–500,University of TsukubaJapan,16514,13.0,19%,39 : 61,36.5,38.6,35.0,34.1,47.0,39.9,large
401–500,University of TulsaUnited States,4671,12.4,25%,43 : 57,38.3,35.5,14.1,62.1,56.5,44.9,small
401–500,University of TurinItaly,59116,31.4,7%,,38.4,20.6,20.3,72.3,45.3,43.7,large
401–500,UiT The Arctic University of NorwayNorway,12601,12.1,12%,61 : 39,36.6,20.9,17.1,63.5,40.5,68.0,medium
401–500,University of Urbino Carlo BoItaly,11658,28.6,9%,59 : 41,36.9,17.9,10.0,81.3,34.1,43.4,medium
401–500,Verona UniversityItaly,24582,20.6,6%,64 : 36,38.4,22.8,11.9,79.8,36.8,42.0,large
401–500,Victoria University of WellingtonNew Zealand,17086,19.8,20%,56 : 44,39.8,27.6,30.4,48.0,57.2,87.6,large
401–500,Western Sydney UniversityAustralia,32744,34.0,13%,55 : 45,39.0,19.1,26.0,62.3,37.1,77.8,large
401–500,University of Wisconsin-MilwaukeeUnited States,21928,18.7,6%,52 : 48,35.9,23.2,20.4,65.7,33.4,30.7,large
401–500,Wuhan UniversityChina,50178,14.3,7%,,39.9,44.9,33.7,37.5,89.9,37.7,large
401–500,Xiamen UniversityChina,41430,15.0,4%,49 : 51,35.4,28.8,24.9,56.4,9.7,28.9,large
501–600,Alfaisal UniversitySaudi Arabia,1891,14.5,34%,56 : 44,33.5,16.1,27.3,39.3,54.3,97.4,small
501–600,American University of BeirutLebanon,8045,8.6,22%,51 : 49,34.8,25.7,12.2,52.9,38.3,87.5,medium
501–600,Aristotle University of ThessalonikiGreece,45709,24.7,4%,57 : 43,30.9,20.6,15.9,53.8,38.5,38.2,large
501–600,University of ArkansasUnited States,24140,20.4,6%,52 : 48,31.4,26.4,19.5,47.6,44.5,30.0,large
501–600,Athens University of Economics and BusinessGreece,9674,42.2,7%,46 : 54,32.3,17.7,22.8,51.8,48.6,45.8,medium
501–600,Australian Catholic UniversityAustralia,21846,30.7,9%,73 : 27,33.1,16.8,19.7,59.5,35.3,45.0,large
501–600,University of AveiroPortugal,10105,17.1,10%,52 : 48,33.3,23.5,26.3,45.5,39.8,49.0,medium
501–600,Blaise Pascal UniversityFrance,15538,15.2,13%,55 : 45,32.3,21.5,6.5,61.1,33.5,62.9,large
501–600,Bond UniversityAustralia,3215,13.9,39%,52 : 48,31.6,19.3,23.4,37.6,34.6,88.9,small
501–600,Université Bourgogne Franche-Comté (UBFC)France,56702,28.9,11%,53 : 47,32.4,23.9,13.0,55.6,35.7,50.6,large
501–600,Ca’ Foscari University of VeniceItaly,19353,40.7,8%,64 : 36,31.5,25.6,28.4,37.3,34.7,43.3,large
501–600,Carleton UniversityCanada,25973,30.1,20%,47 : 53,33.2,20.5,28.0,43.0,33.6,65.6,large
501–600,University of CataniaItaly,35168,22.8,1%,59 : 41,32.7,17.2,11.7,70.1,34.3,28.4,large
501–600,Catholic University of the Sacred HeartItaly,32844,11.4,8%,,31.7,19.7,11.6,62.5,35.3,35.8,large
501–600,Central China Normal UniversityChina,36706,23.1,7%,65 : 35,34.7,23.5,9.2,72.5,39.0,28.7,large
501–600,Central Queensland UniversityAustralia,13048,27.8,29%,56 : 44,34.5,27.8,10.1,58.9,34.3,61.2,medium
501–600,"China Medical University, TaiwanTaiwan",7752,17.1,10%,53 : 47,32.3,24.4,27.1,42.3,79.1,29.3,medium
501–600,University of CoimbraPortugal,21928,17.0,16%,57 : 43,34.1,25.3,23.4,48.2,37.8,55.1,large
501–600,Complutense University of MadridSpain,62392,20.1,13%,62 : 38,34.3,35.2,27.4,38.5,33.5,41.7,large
501–600,Concordia UniversityCanada,32331,31.1,28%,50 : 50,32.6,21.4,24.0,40.3,34.8,80.7,large
501–600,Creighton UniversityUnited States,8213,11.3,9%,58 : 42,34.3,37.1,10.3,56.2,35.0,31.1,medium
501–600,Diego Portales UniversityChile,16348,14.4,2%,48 : 52,34.1,15.7,8.7,74.7,31.8,47.7,large
501–600,East China Normal UniversityChina,27189,12.6,13%,62 : 38,32.4,25.4,20.1,46.9,46.0,47.2,large
501–600,Edith Cowan UniversityAustralia,16315,35.5,23%,61 : 39,34.6,20.4,20.3,52.2,36.4,77.4,large
501–600,Ewha Womans UniversitySouth Korea,15044,14.4,11%,100 : 0,33.9,27.1,26.4,43.0,68.9,42.6,large
501–600,Federal University of São Paulo (UNIFESP)Brazil,14475,9.3,1%,55 : 45,30.9,35.8,16.9,41.2,34.0,24.6,medium
501–600,Federico Santa María Technical UniversityChile,19265,30.3,2%,23 : 77,31.9,14.6,10.7,64.8,40.0,51.7,large
501–600,University of FerraraItaly,13902,8.3,7%,56 : 44,34.5,21.2,10.2,69.6,34.2,44.8,medium
501–600,Fujita Health UniversityJapan,2810,3.1,,55 : 45,34.1,24.2,7.7,74.5,35.2,17.3,small
501–600,University of GranadaSpain,59539,17.6,14%,58 : 42,31.1,22.5,19.2,46.8,32.8,50.1,large
501–600,Harbin Institute of TechnologyChina,29395,10.0,9%,31 : 69,34.2,34.4,31.9,31.4,99.0,31.6,large
501–600,University of HertfordshireUnited Kingdom,17330,17.3,28%,54 : 46,32.0,18.2,11.9,54.0,32.6,79.0,large
501–600,Indian Institute of Technology DelhiIndia,7284,13.3,1%,20 : 80,33.9,36.6,19.2,48.7,51.8,16.8,medium
501–600,Indian Institute of Technology KanpurIndia,6472,15.2,1%,14 : 86,31.6,32.6,21.7,38.5,92.7,19.5,medium
501–600,Indian Institute of Technology KharagpurIndia,11016,18.0,,16 : 84,34.7,32.6,29.5,43.3,73.7,16.8,medium
501–600,Indian Institute of Technology RoorkeeIndia,8240,14.1,1%,16 : 84,34.3,30.2,18.1,56.1,69.9,16.0,medium
501–600,University of IoanninaGreece,21672,41.6,4%,57 : 43,34.8,19.2,14.9,68.1,36.5,42.7,large
501–600,ITMO UniversityRussian Federation,10582,9.5,13%,37 : 63,32.0,26.5,17.8,44.3,67.7,50.3,medium
501–600,Johannes Kepler University of LinzAustria,6449,11.0,10%,52 : 48,33.3,26.3,15.3,49.8,53.7,59.9,medium
501–600,Keele UniversityUnited Kingdom,7986,13.9,23%,57 : 43,34.5,19.8,19.5,54.5,33.8,73.4,medium
501–600,Kent State UniversityUnited States,23647,18.6,9%,59 : 41,33.9,23.8,16.9,60.2,32.1,37.3,large
501–600,King Fahd University of Petroleum and MineralsSaudi Arabia,6471,6.1,20%,0 : 100,31.1,26.8,12.8,37.4,61.7,85.5,medium
501–600,King Saud UniversitySaudi Arabia,34489,9.3,10%,,33.1,24.5,27.6,30.7,95.1,78.8,large
501–600,Konkuk UniversitySouth Korea,15229,28.0,12%,55 : 45,30.7,33.1,32.5,23.3,39.4,40.5,large
501–600,Lappeenranta University of TechnologyFinland,3622,23.4,19%,30 : 70,31.5,26.7,26.5,32.6,55.8,58.7,small
501–600,Lehigh UniversityUnited States,6476,11.4,16%,45 : 55,33.7,24.7,19.9,54.5,36.6,40.5,medium
501–600,University of LimerickIreland,13302,20.3,18%,48 : 52,33.8,22.1,19.9,46.5,36.0,85.0,medium
501–600,Lincoln UniversityNew Zealand,2455,4.3,34%,48 : 52,33.3,29.1,16.1,41.8,36.6,83.7,small
501–600,University of LisbonPortugal,49682,18.6,10%,50 : 50,34.6,24.0,22.6,53.2,36.8,49.4,large
501–600,Liverpool John Moores UniversityUnited Kingdom,18268,18.2,13%,54 : 46,34.4,18.0,14.7,62.7,32.7,66.8,large
501–600,University of LorraineFrance,55606,18.4,15%,52 : 48,33.5,21.9,11.3,60.7,37.8,58.0,large
501–600,Mahidol UniversityThailand,28996,10.5,3%,63 : 37,30.8,27.1,16.0,43.4,60.0,45.0,large
501–600,Masaryk UniversityCzech Republic,34756,22.4,20%,62 : 38,31.4,22.2,22.7,42.8,33.7,56.3,large
501–600,Memorial University of NewfoundlandCanada,15116,12.9,15%,57 : 43,32.9,19.1,16.1,55.9,49.5,58.3,large
501–600,Missouri University of Science and TechnologyUnited States,8146,23.7,17%,23 : 77,33.3,26.2,23.9,40.6,47.5,65.9,medium
501–600,Montana State UniversityUnited States,14023,18.8,4%,46 : 54,34.0,18.1,18.2,66.1,48.2,27.2,medium
501–600,University of NantesFrance,37231,24.7,10%,56 : 44,33.0,20.2,19.3,55.7,36.2,46.8,large
501–600,National and Kapodistrian University of AthensGreece,60850,32.9,9%,60 : 40,33.0,26.3,13.6,54.4,49.3,46.2,large
501–600,National Cheng Kung University (NCKU)Taiwan,21337,14.4,11%,36 : 64,33.3,28.3,38.2,28.3,99.8,31.9,large
501–600,National Taiwan Normal UniversityTaiwan,10718,12.9,26%,56 : 44,31.9,28.8,33.5,25.3,82.9,47.9,medium
501–600,New Jersey Institute of TechnologyUnited States,11423,21.1,18%,24 : 76,33.2,19.7,14.7,59.7,34.2,55.4,medium
501–600,Northumbria UniversityUnited Kingdom,22176,17.8,16%,54 : 46,31.1,19.1,15.2,50.3,32.4,65.1,large
501–600,NOVA University of LisbonPortugal,19495,19.1,14%,49 : 51,34.1,24.8,24.8,46.5,43.9,55.9,large
501–600,Oklahoma State UniversityUnited States,21677,22.1,6%,49 : 51,30.9,27.5,22.4,42.5,36.1,29.8,large
501–600,University of PalermoItaly,43249,27.8,1%,59 : 41,32.9,19.1,13.5,67.8,33.0,25.7,large
501–600,Panthéon-Sorbonne University – Paris 1France,40270,33.4,21%,60 : 40,34.6,49.3,40.1,10.4,32.0,50.8,large
501–600,Polytechnic University of ValenciaSpain,23471,10.0,11%,37 : 63,32.5,24.0,25.4,44.4,43.5,43.6,large
501–600,Pontifical Catholic University of ChileChile,27065,15.4,7%,,33.0,25.9,25.1,42.5,35.8,53.9,large
501–600,Pontifical Javeriana UniversityColombia,28108,17.0,1%,56 : 44,31.9,17.0,8.7,66.6,32.6,44.7,large
501–600,University of PortoPortugal,31743,18.8,11%,54 : 46,34.9,27.1,26.9,47.0,39.8,48.3,large
501–600,University of PortsmouthUnited Kingdom,19096,15.6,27%,45 : 55,34.2,19.1,14.3,57.1,32.1,83.1,large
501–600,Université du QuébecCanada,54033,20.1,10%,57 : 43,33.3,26.2,22.4,43.4,40.9,62.9,large
501–600,Renmin University of ChinaChina,25183,12.0,6%,,34.5,42.3,21.4,37.6,38.2,42.6,large
501–600,University of SalentoItaly,19025,37.8,1%,63 : 37,31.2,20.1,11.8,62.4,36.6,26.6,large
501–600,University of SassariItaly,12194,19.6,1%,64 : 36,32.0,20.9,13.1,61.0,34.1,35.8,medium
501–600,Sejong UniversitySouth Korea,11884,16.3,6%,46 : 54,31.6,25.5,18.5,50.2,35.0,33.2,medium
501–600,Shandong UniversityChina,45900,14.8,5%,,32.2,35.4,30.9,29.5,69.7,22.7,large
501–600,Université de SherbrookeCanada,14373,12.3,8%,57 : 43,33.2,29.0,13.2,51.3,33.4,57.2,medium
501–600,Soochow UniversityChina,45109,16.0,5%,54 : 46,33.5,21.1,17.7,61.6,68.4,22.5,large
501–600,South China University of TechnologyChina,42076,16.3,2%,35 : 65,31.8,22.5,24.1,48.3,65.9,22.5,large
501–600,University of South DakotaUnited States,15624,31.8,3%,61 : 39,33.0,30.9,14.0,56.4,33.6,24.1,large
501–600,Southeast UniversityChina,32464,11.7,5%,,32.7,29.7,32.9,33.2,92.7,21.7,large
501–600,University of SplitCroatia,20817,30.7,1%,,30.8,16.8,12.5,60.3,33.5,41.7,large
501–600,Stevens Institute of TechnologyUnited States,5636,16.2,35%,29 : 71,34.5,20.6,16.2,59.5,33.2,64.2,medium
501–600,University of the Sunshine CoastAustralia,8202,28.3,16%,64 : 36,31.0,17.1,20.9,46.5,34.4,63.3,medium
501–600,Tampere University of TechnologyFinland,5490,19.6,8%,23 : 77,34.5,25.4,15.9,54.2,80.2,51.0,medium
501–600,University of Texas at ArlingtonUnited States,26325,25.3,14%,56 : 44,30.7,20.8,16.4,51.5,37.7,41.3,large
501–600,Texas Tech UniversityUnited States,32486,22.2,9%,46 : 54,30.7,31.0,18.4,39.5,33.1,42.5,large
501–600,Tianjin UniversityChina,30513,12.0,1%,,33.3,36.9,32.8,28.5,97.1,18.8,large
501–600,Tokyo Metropolitan UniversityJapan,9263,10.0,4%,36 : 64,30.9,22.7,13.3,57.8,34.0,24.8,medium
501–600,University of ToledoUnited States,18525,15.9,10%,50 : 50,31.1,32.7,13.9,42.9,42.9,41.9,large
501–600,Tomsk State UniversityRussian Federation,8022,8.3,22%,,34.7,36.7,26.5,32.8,63.6,57.1,medium
501–600,Universiti Tunku Abdul Rahman (UTAR)Malaysia,18642,16.9,1%,52 : 48,31.5,15.4,7.8,71.3,32.5,30.8,large
501–600,University of UlsanSouth Korea,13689,12.6,3%,45 : 55,32.9,20.1,20.3,59.4,56.2,20.7,medium
501–600,Ulster UniversityUnited Kingdom,18550,14.9,8%,55 : 45,32.4,21.0,15.6,50.6,33.0,72.0,large
501–600,United Arab Emirates UniversityUnited Arab Emirates,7492,9.2,26%,79 : 21,34.8,22.9,16.9,49.1,38.4,95.1,medium
501–600,University of ValenciaSpain,48725,14.9,9%,60 : 40,33.0,21.9,18.4,56.2,34.4,42.2,large
501–600,University of WarsawPoland,50026,14.1,9%,66 : 34,31.5,25.9,18.3,47.1,32.4,44.6,large
501–600,University of the West of ScotlandUnited Kingdom,11160,20.0,13%,61 : 39,33.6,14.9,10.9,68.2,32.4,61.4,medium
501–600,Xi’an Jiaotong UniversityChina,32199,10.7,4%,35 : 65,32.3,32.7,26.2,35.0,56.0,35.8,large
601–800,University of the AegeanGreece,12264,37.9,1%,59 : 41,26.1,17.7,16.4,41.3,32.4,35.4,medium
601–800,AGH University of Science and TechnologyPoland,32930,14.9,2%,34 : 66,22.4,18.6,12.3,35.6,35.7,20.3,large
601–800,The University of AizuJapan,1228,11.5,3%,13 : 87,27.6,19.4,10.0,42.7,34.8,67.5,small
601–800,University of AlcaláSpain,18023,13.1,21%,55 : 45,29.0,20.4,12.2,45.9,40.5,59.8,large
601–800,University of AlgarvePortugal,7643,12.2,11%,57 : 43,27.0,19.5,11.2,42.3,33.2,56.9,medium
601–800,Aligarh Muslim UniversityIndia,17732,14.6,2%,36 : 64,24.5,29.9,10.1,33.1,31.7,23.9,large
601–800,American University in CairoEgypt,6093,12.4,5%,54 : 46,25.7,23.3,18.0,24.7,32.5,68.3,medium
601–800,American University of SharjahUnited Arab Emirates,5778,15.0,84%,49 : 51,23.3,15.5,12.5,22.7,35.4,96.2,medium
601–800,Amirkabir University of TechnologyIran,12815,23.3,1%,34 : 66,30.1,27.4,27.2,35.3,74.4,16.8,medium
601–800,"University of the Andes, ColombiaColombia",16664,15.3,2%,44 : 56,30.6,21.1,15.0,49.4,39.9,53.2,large
601–800,Atılım UniversityTurkey,7100,16.1,5%,43 : 57,28.5,16.1,7.5,60.0,33.3,34.6,medium
601–800,Auburn UniversityUnited States,23186,18.2,5%,50 : 50,28.3,31.8,20.2,30.9,38.9,33.2,large
601–800,Babeş-Bolyai UniversityRomania,37961,24.3,2%,60 : 40,24.6,24.8,11.3,32.9,32.2,40.8,large
601–800,Banaras Hindu UniversityIndia,24399,18.8,2%,36 : 64,22.0,24.8,15.5,26.4,31.7,16.0,large
601–800,University of the Basque CountrySpain,44028,14.8,6%,52 : 48,30.1,21.0,14.8,51.4,34.8,40.8,large
601–800,Baylor UniversityUnited StatesApply,16736,17.0,5%,57 : 43,28.8,30.7,16.7,39.2,33.1,27.1,large
601–800,University of BedfordshireUnited Kingdom,11366,18.9,32%,59 : 41,22.4,17.6,12.0,24.5,32.0,71.8,medium
601–800,Beihang UniversityChina,28884,14.4,6%,,27.9,27.1,30.6,21.0,99.1,24.2,large
601–800,Beijing Institute of TechnologyChina,28174,12.6,7%,34 : 66,26.3,29.2,28.5,16.5,93.9,22.1,large
601–800,University of Beira InteriorPortugal,6925,16.0,8%,52 : 48,29.0,20.0,15.0,48.7,32.0,41.8,medium
601–800,Ben-Gurion University of the NegevIsrael,16568,20.4,3%,51 : 49,29.4,24.6,26.4,34.7,42.7,35.5,large
601–800,Beni-Suef UniversityEgypt,69962,32.5,1%,43 : 57,30.4,18.4,6.4,63.2,31.8,43.3,large
601–800,Bournemouth UniversityUnited Kingdom,12299,17.4,19%,56 : 44,29.0,18.1,15.7,40.9,32.1,77.0,medium
601–800,University of BradfordUnited Kingdom,9636,17.0,30%,55 : 45,25.1,19.2,14.5,26.7,34.6,81.4,medium
601–800,University of BrightonUnited Kingdom,16666,17.5,22%,57 : 43,27.0,18.2,12.5,39.3,32.7,69.6,large
601–800,University of CagliariItaly,29645,32.6,2%,60 : 40,30.3,20.5,6.1,62.6,34.4,36.0,large
601–800,Capital Medical UniversityChina,12488,6.9,4%,69 : 31,21.6,26.4,18.9,19.0,32.4,20.5,medium
601–800,Carlos III University of MadridSpain,16429,11.1,14%,43 : 57,27.2,24.6,15.3,33.6,36.3,56.8,large
601–800,University of Central LancashireUnited Kingdom,16500,15.5,18%,57 : 43,24.8,17.2,12.5,35.3,32.2,59.3,large
601–800,Central South UniversityChina,55707,17.1,1%,40 : 60,25.2,23.6,23.7,26.8,68.4,16.6,large
601–800,Chang Gung UniversityTaiwan,7540,12.5,2%,43 : 57,25.7,22.1,25.5,29.9,41.7,19.1,medium
601–800,"University of Chemistry and Technology, PragueCzech Republic",4210,10.0,20%,62 : 38,22.5,24.8,13.8,20.9,39.2,49.4,small
601–800,Chiba UniversityJapan,14002,10.1,5%,37 : 63,26.3,27.6,17.7,32.1,52.5,24.2,medium
601–800,University of ChileChile,38848,17.2,5%,47 : 53,27.8,24.4,19.0,34.3,31.8,49.1,large
601–800,China Agricultural UniversityChina,18725,11.3,2%,58 : 42,30.0,33.3,23.1,34.7,45.2,20.6,large
601–800,"China University of Geosciences, BeijingChina",17840,17.5,1%,33 : 67,28.0,27.7,14.5,41.8,50.7,20.6,large
601–800,"China University of Geosciences, WuhanChina",30585,20.3,3%,,23.9,21.6,15.2,33.5,48.0,21.8,large
601–800,Chonbuk National UniversitySouth Korea,23728,20.7,3%,44 : 56,22.9,21.6,18.7,26.0,37.2,28.3,large
601–800,Chonnam National UniversitySouth Korea,23984,13.8,3%,48 : 52,22.7,20.8,14.5,31.1,36.9,24.1,large
601–800,Chulalongkorn UniversityThailand,38734,14.8,3%,59 : 41,22.5,27.0,14.9,18.4,73.3,34.8,large
601–800,Comenius University in BratislavaSlovakia,22857,11.1,11%,66 : 34,22.4,22.6,11.9,25.3,31.8,49.1,large
601–800,COMSATS Institute of Information TechnologyPakistan,30126,10.4,,24 : 76,28.6,17.5,7.4,56.8,31.8,44.3,large
601–800,Coventry UniversityUnited Kingdom,22737,14.3,45%,48 : 52,24.2,18.6,10.1,28.7,32.3,82.0,large
601–800,Czech Technical University in PragueCzech Republic,21266,13.2,16%,30 : 70,24.2,20.2,17.3,28.5,39.3,45.3,large
601–800,Dalian University of TechnologyChina,38678,16.6,2%,35 : 65,27.0,23.3,21.3,32.6,82.9,23.1,large
601–800,University of DaytonUnited States,10502,15.2,15%,48 : 52,23.7,30.2,15.1,22.3,37.8,33.0,medium
601–800,University of DelhiIndia,22107,23.1,1%,49 : 51,26.4,40.2,17.6,23.1,31.9,18.4,large
601–800,De Montfort UniversityUnited Kingdom,15880,18.8,25%,58 : 42,25.0,18.9,13.6,31.9,31.9,65.5,large
601–800,Dublin Institute of TechnologyIreland,14544,19.5,26%,41 : 59,25.3,17.0,10.7,34.6,33.5,77.5,medium
601–800,East China University of Science and TechnologyChina,24207,17.4,6%,41 : 59,29.6,20.9,17.2,45.9,83.8,30.6,large
601–800,Eastern Mediterranean UniversityNorthern Cyprus,19069,32.5,84%,37 : 63,29.2,18.0,16.3,36.1,79.5,80.9,large
601–800,University of East LondonUnited Kingdom,11857,20.2,33%,61 : 39,22.7,22.4,13.1,18.2,31.8,77.3,medium
601–800,École Centrale de LyonFrance,1871,15.2,22%,25 : 75,29.9,29.2,15.0,33.9,71.4,61.9,small
601–800,École Normale Supérieure de CachanFrance,1631,10.5,15%,30 : 70,30.5,31.3,10.6,42.2,45.0,55.3,small
601–800,Edinburgh Napier UniversityUnited Kingdom,10953,20.3,32%,56 : 44,24.1,17.0,10.9,30.4,34.2,77.1,medium
601–800,Embry-Riddle Aeronautical UniversityUnited States,15514,15.3,11%,17 : 83,29.1,16.6,7.4,63.6,31.9,27.6,large
601–800,Eötvös Loránd UniversityHungary,23558,14.8,7%,63 : 37,27.1,21.1,12.6,42.2,32.4,47.0,large
601–800,Federal University of ABC (UFABC)Brazil,12467,20.3,1%,31 : 69,24.5,29.2,12.1,29.3,34.5,32.8,medium
601–800,Federal University of ItajubáBrazil,7559,15.3,1%,29 : 71,22.5,29.5,20.4,11.8,100.0,19.6,medium
601–800,Federal University of Minas GeraisBrazil,45138,14.5,2%,53 : 47,25.1,29.3,14.5,30.8,34.3,24.8,large
601–800,Federal University of Rio de JaneiroBrazil,54989,14.0,2%,54 : 46,25.1,30.2,19.8,23.2,40.5,28.3,large
601–800,Federal University of Rio Grande do SulBrazil,39588,14.4,1%,47 : 53,22.8,30.0,9.0,30.7,6.1,23.5,large
601–800,Florida Atlantic UniversityUnited States,17330,15.8,10%,59 : 41,25.2,19.0,12.9,40.6,1.7,45.5,large
601–800,Florida Institute of TechnologyUnited States,5343,14.6,35%,33 : 67,23.7,22.4,12.7,26.1,34.7,59.7,medium
601–800,Fuzhou UniversityChina,35901,17.7,1%,42 : 58,27.1,17.5,10.2,54.0,42.1,20.0,large
601–800,Gebze Technical UniversityTurkey,5781,23.1,2%,34 : 66,22.3,19.8,10.4,34.7,33.4,26.6,medium
601–800,Glasgow Caledonian UniversityUnited Kingdom,13826,21.9,19%,59 : 41,26.6,17.1,10.9,42.9,32.7,59.9,medium
601–800,University of GreenwichUnited Kingdom,14678,18.7,35%,55 : 45,28.0,17.1,12.3,40.1,33.2,84.7,medium
601–800,Hacettepe UniversityTurkey,39181,18.3,5%,57 : 43,27.2,28.2,10.7,42.9,33.8,23.6,large
601–800,University of HaifaIsrael,17917,30.7,2%,66 : 34,30.3,24.9,30.0,34.3,33.8,35.9,large
601–800,Hiroshima UniversityJapan,14769,8.3,6%,36 : 64,29.7,29.7,19.6,39.0,48.9,26.8,medium
601–800,Huazhong Agricultural UniversityChina,25619,17.6,1%,53 : 47,28.7,26.8,12.9,48.0,39.8,18.5,large
601–800,University of HuddersfieldUnited Kingdom,15154,22.5,26%,56 : 44,24.8,20.5,16.3,26.5,33.5,66.0,large
601–800,Hunan UniversityChina,42004,22.2,2%,45 : 55,27.3,20.5,19.6,42.2,51.3,18.3,large
601–800,Indian Institute of Technology GuwahatiIndia,5419,13.4,1%,15 : 85,29.2,24.8,19.2,46.4,36.1,15.1,medium
601–800,Indian Institute of Technology MadrasIndia,9033,14.9,,19 : 81,29.6,36.9,22.1,29.2,71.5,18.2,medium
601–800,Indian Institute of  Technology (Indian School of Mines) DhanbadIndia,6692,24.6,1%,15 : 85,25.6,22.8,11.9,43.1,49.7,13.2,medium
601–800,Inha UniversitySouth Korea,19921,23.8,3%,38 : 62,23.4,23.0,19.5,23.1,66.3,27.1,large
601–800,Iran University of Science and TechnologyIran,13206,31.7,,30 : 70,28.4,25.5,24.7,36.3,51.2,15.1,medium
601–800,ISCTE-University Institute of LisbonPortugal,8699,22.8,12%,50 : 50,24.4,24.6,24.7,17.5,33.5,46.6,medium
601–800,Isfahan University of TechnologyIran,9323,19.8,1%,42 : 58,28.7,21.4,20.5,41.8,84.1,20.1,medium
601–800,Istanbul Technical UniversityTurkey,36061,16.9,4%,34 : 66,28.5,22.5,24.2,33.5,100.0,25.6,large
601–800,Jadavpur UniversityIndia,11011,17.6,,31 : 69,27.6,33.3,18.5,33.3,38.6,14.9,medium
601–800,University of JaénSpain,16894,20.5,8%,55 : 45,23.7,16.7,11.7,39.8,34.2,32.2,large
601–800,Jagiellonian UniversityPoland,42594,11.8,6%,67 : 33,26.0,23.1,14.2,37.9,32.7,34.3,large
601–800,University of JohannesburgSouth Africa,28122,27.4,7%,55 : 45,29.0,19.3,23.5,36.3,42.7,55.6,large
601–800,Juntendo UniversityJapan,4246,3.7,1%,52 : 48,24.5,32.2,12.4,27.9,48.5,20.1,small
601–800,Kagawa UniversityJapan,6453,9.6,2%,41 : 59,22.8,21.6,11.1,33.1,36.9,27.9,medium
601–800,Kanazawa UniversityJapan,10464,10.4,5%,36 : 64,25.2,27.4,16.7,31.7,33.8,21.5,medium
601–800,Kansas State UniversityUnited States,22017,14.7,11%,50 : 50,30.3,24.3,17.8,44.1,41.5,45.1,large
601–800,Kaohsiung Medical UniversityTaiwan,6894,12.2,6%,56 : 44,23.3,20.2,19.1,28.1,50.2,24.4,medium
601–800,Universiti Kebangsaan MalaysiaMalaysia,19353,11.8,12%,70 : 30,22.7,30.5,21.4,11.0,34.1,39.1,large
601–800,Keio UniversityJapan,34689,11.1,7%,34 : 66,29.4,31.6,23.2,33.1,40.1,27.5,large
601–800,King Juan Carlos UniversitySpain,33849,26.5,11%,57 : 43,24.0,18.8,10.3,37.3,34.6,42.8,large
601–800,King Mongkut’s University of Technology ThonburiThailand,16413,22.0,1%,46 : 54,26.0,18.0,10.6,42.3,98.0,30.1,large
